url,company,location,price,make,model,year
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h35d-2011-3845965,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","19,900",Linde,H35D,"6 /
                        2011"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h80d-2007-3845983,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","18,900",Linde,H80D,"6 /
                        2007"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h30d-01-2010-3845960,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","13,500",Linde,H30D-01,"6 /
                        2010"
https://www.tradus.com/en/material-handling-equipment/forklifts/doosan/doosan-d30s-5-2012-3845878,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","11,900",Doosan,D30S -5,"6 /
                        2012"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h30d-393-2010-3845959,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","13,900",Linde,H30D/393,"6 /
                        2010"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h35t-2011-3845969,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","10,750",Linde,H35T,"6 /
                        2011"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h25t-2012-3845946,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","18,900",Linde,H25T,"6 /
                        2012"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-e40h-01-600-2012-3845931,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","18,500",Linde,E40H-01/600,"6 /
                        2012"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h120-1993-3845932,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","14,900",Linde,H120,"6 /
                        1993"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-e20-pl-2011-3845924,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","14,900",Linde,E20 PL,"6 /
                        2011"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h30t-01-2011-3845963,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","11,000",Linde,H30T-01,"6 /
                        2011"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h50d-2011-3845973,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","19,900",Linde,H50D,"6 /
                        2011"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h25d-02-600-2013-3845942,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","19,900",Linde,H25D-02/600,"6 /
                        2013"
https://www.tradus.com/en/material-handling-equipment/forklifts/hyster/hyster-e1-75xm-2003-3845882,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","6,850",Hyster,E1.75XM,"6 /
                        2003"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-h50d-2013-3845974,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","23,500",Linde,H50D,"6 /
                        2013"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-e16p-01-2011-3845922,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","10,900",Linde,E16P-01,"6 /
                        2011"
https://www.tradus.com/en/material-handling-equipment/forklifts/clark/clark-dpl60-1993-3845875,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","10,250",Clark,DPL60,"6 /
                        1993"
https://www.tradus.com/en/material-handling-equipment/forklifts/linde/linde-e25l-2012-3845929,GA-TEC Gabelstaplertechnik GmbH,"Dortmund, Germany","19,900",Linde,E25L,"6 /
                        2012"
