url,company,location,price,make,model,year,running hours,type,engine_type,capacity,mast type,lift height,closed height,free lift,fork carriage,fork length,forks,engine charger,transmission,battery size age,tyres,front tyres,rear tyres,length,width,weight,images
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-02-8FGF30-3451881s?b=1,01103 Vilnius,Litauen,,Toyota,02-8FGF30,2008,6.854,Treibgasstapler,Treibgas,0 kg,Duplex,0 mm,0 mm,0 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,4.300 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Hyundai-25D-9-3218528s?b=1,UAB Nirlita,Litauen,22.500 EUR,Hyundai,25D-9,2018,0,Dieselstapler,Diesel,2.500 kg,Triplex,4.705 mm,2.175 mm,1.527 mm,FEM2,1.200 mm,,Kubota V3307,automatic,,Luft-Reifen/unbekannt,,,2.607 mm,1.200 mm,4.100 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Baoli-CPCD100-W-2859025s?b=1,Paradis,Litauen,33.000 EUR,Baoli,CPCD100-W,2008,2.856,Dieselstapler,Diesel,10.000 kg,Triplex,3.600 mm,2.570 mm,1.200 mm,,0 mm,2420,,automatic,,Superelastik/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Hubwagen-gebraucht-Linde-T20SP-3141873s?b=1,UAB TRANSRIFUS,Litauen,2.200 EUR,Linde,T20SP,2007,8.157,Niederhubwagen,Elektro,2.000 kg,keiner,200 mm,1.160 mm,0 mm,,0 mm,,,,,Polyurethan/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Hubwagen-gebraucht-Linde-T20AP-3141886s?b=1,UAB TRANSRIFUS,Litauen,2.700 EUR,Linde,T20AP,2008,6.081,Niederhubwagen,Elektro,2.000 kg,keiner,200 mm,1.160 mm,0 mm,,1.150 mm,,24V,,24 V 375 (new),Polyurethan/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Linde-H50T-3141894s?b=1,UAB TRANSRIFUS,Litauen,29.000 EUR,Linde,H50T,2010,6.200,Treibgasstapler,Treibgas,5.000 kg,Triplex,4.000 mm,2.250 mm,1.290 mm,,0 mm,,,Hydrostatic,,Superelastik/unbekannt,,,3.074 mm,1.487 mm,6.640 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Linde-H70D-3141896s?b=1,UAB TRANSRIFUS,Litauen,40.000 EUR,Linde,H70D,2010,6.897,Dieselstapler,Diesel,7.000 kg,Triplex,5.800 mm,3.030 mm,0 mm,,0 mm,,,Hydrostatic,,Luft-Reifen/unbekannt,,,3.449 mm,2.232 mm,12.000 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Linde-C4531TL-3156584s?b=1,ALWARK Co. Ltd (Alwark UAB),Litauen,112.000 EUR,Linde,C4531TL,2007,19.561,Schubmaststapler,Diesel,0 kg,keiner,0 mm,0 mm,0 mm,,0 mm,,,, ,Luft-Reifen/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Hyundai-18D-7E-3214510s?b=1,UAB Nirlita,Litauen,18.790 EUR,Hyundai,18D-7E,2016,20,Dieselstapler,Diesel,1.750 kg,Triplex,4.737 mm,2.155 mm,1.649 mm,,1.200 mm,,,automatic,,Luft-Reifen/unbekannt,,,2.261 mm,1.067 mm,3.134 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Jungheinrich--3265241s?b=1,01103 Vilnius,Litauen,20.500 EUR,Jungheinrich,0 mm,2003,5.865,Dieselstapler,Diesel,9.000 kg,Duplex,4.000 mm,0 mm,0 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
